Year,City,Population_Density
2019,Colombo,3502.145923
2019,Matara,673.1669267
2019,Kurunegala,356.9352159
2019,Jaffna,601.9512195
2019,Kandy,760.8247423
2020,Colombo,3512.160229
2020,Matara,675.5070203
2020,Kurunegala,358.3887043
2020,Jaffna,605.8536585
2020,Kandy,764.4329897
2021,Colombo,3547.925608
2021,Matara,680.9672387
2021,Kurunegala,361.9186047
2021,Jaffna,610.7317073
2021,Kandy,773.7113402
2022,Colombo,3545.064378
2022,Matara,681.7472699
2022,Kurunegala,361.7109635
2022,Jaffna,613.6585366
2022,Kandy,772.6804124
2023,Colombo,3519.313305
2023,Matara,677.8471139
2023,Kurunegala,358.5963455
2023,Jaffna,612.6829268
2023,Kandy,763.9175258
